id_paises,nome,CAPITAL,continente,lingua,area,populaçao,gpd
53,DINAMARCA,COPENHAGUE,EUROPA,DINAMARQUES,8000020,60500000,160002800
43,NORUEGA,OSLO,EUROPA,NORUEGUES,2005010,10000000,100090800
44,ESLOVAQUIA,NULL,EUROPA,ALEMAO,1900010,14200000,110100800
54,EQUADOR,QUITO,"AMERICA DO SUL",ESPANHOL,5000510,10000000,110100300
55,PARAGUAI,ASSUNÇAO,"AMERICA DO SUL",ESPANHOL,3000020,20500000,110002800
56,"HONG KONG",NULL,ASIA,MANDARIM,1000510,30000000,100100300
58,"HONG KONG",NULL,ASIA,MANDARIM,1000510,30000000,100100300
57,BUTAO,NULL,ASIA,MANDARIM,1000020,10500000,160002800
59,"TIMOR LESTE",NULL,OCEANIA,INGLES,3000510,20000000,100300300
61,"NOVA ZELANDIA",AUCKLAND,OCEANIA,INGLES,3000510,20000000,100300300
60,AUSTRALIA,SIDNEI,OCEANIA,INGLES,8000020,40500000,250002800
62,ZAIRE,NULL,AFRICA,INGLES,1000510,10000000,105300300
63,CAMAROES,NULL,AFRICA,INGLES,4000020,20500000,180002800
64,ZIMBAWE,NULL,AFRICA,INGLES,1600510,17000000,106100300
65,CHADE,NULL,AFRICA,INGLES,2000020,10300000,114002800
66,"ESTADOS UNIDOS",WACHINTOWM,"AMERICA DO NORTE",INGLES,7400510,33000000,704100300
67,ALASCA,NULL,"AMERICA DO NORTE",INGLES,1000020,10100000,110002800
68,CUBA,"CITY CUBA","AMERICA DO NORTE",INGLES,1400510,31000000,704147300
69,HAITI,"CITY HAITI","AMERICA CENTRAL",INGLES,1020020,14100000,110012800
70,HONDRAS,"CITY HONDURAS","AMERICA CENTRAL",INGLES,1020130,14101400,110029800
71,ISRAEL,JERUSALEM,ASIA,HEBRAICO,1400500,31000000,704147300
72,LIBANO,BEIRUTE,ASIA,ARABE,1020020,14123000,110012763
73,SIRIA,DAMASCO,ASIA,ARABE,1021470,14197400,110029147
74,"ARABIA SAUDITA",MECA,ASIA,ARABE,1400500,31000000,704147300
75,IRA,TEERA,ASIA,PERSA,1020020,14123000,110012763
76,IRAQUE,DAMASCO,BAGDA,ARABE,1021470,14197400,110029147
77,OMA,AMA,ASIA,ARABE,1000500,10000000,205147300
78,JORDANIA,BERSEBA,ASIA,ARABE,1020020,14123000,110012763
79,PALESTINA,CISJORDANIA,ASIA,ARABE,1021470,14197400,110029147
